eNodeB Name,Cell Name,LocalCell Id,selected_kpi_name,target_kpi_column,kpi_category,selected_threshold_%,recent_period,baseline_period,recent_avg_kpi,baseline_avg_kpi,kpi_degradation_ratio_%,rf_severity,analysis_confidence,confidence_reason,stat_significant,p_value,significance_note,number_of_detected_causes,rca_pattern,supporting_evidence,next_investigation_steps,all_detected_causes,main_root_cause_category,main_cause_counter_or_kpi,main_degradation_reason,main_recommended_action,all_recommended_actions
LCAIN10588,LCAIN10588-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.0,3.0756,100.0,Critical,Medium,statistical test unavailable; baseline fallback: history,False,,Advisory only - degradation is retained because threshold was crossed,0,Unknown,No related counter passed its RCA threshold.,"Review raw counters, alarms, recent parameter changes, neighbor cells, and OSS logs manually; current evidence is not strong enough for a pattern.",None,Unknown,No strong related counter detected,"Main KPI degraded, but no related counter passed its threshold.","Check raw counters, alarms, availability, recent changes, and nearby cells manually.",Manual investigation needed
LCAIN10369,LCAIN10369-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.014,4.8633,99.71212962391792,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,10,Coverage,Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 99.70 | Cell Edge Throughput: (HU)CEU Cell Downlink Average Throughput changed by 68.25 | CA User Drop: L.CA.UE.Avg changed by 39.37 | CEU User Experience: (HU)CEU User Downlink Average Througput changed by 66.43 | SCell Activation Issue: L.CA.DLSCell.Act.Att changed by 98.35,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL Traffic QCI-9: recent=0.01, baseline=4.57, change=99.70% | (HU)CEU Cell Downlink Average Throughput: recent=6.66, baseline=20.96, change=68.25% | L.CA.UE.Avg: recent=0.95, baseline=1.57, change=39.37% | (HU)CEU User Downlink Average Througput: recent=7.64, baseline=22.77, change=66.43% | L.CA.DLSCell.Act.Att: recent=67.00, baseline=4051.00, change=98.35%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CEU scheduling, cell edge SINR, and coverage. | Check CA activation, SCell availability, and CA parameters. | Check CEU parameters, ICIC, and edge coverage. | Check SCell configuration, CA licensing, and secondary carriers."
LCAIN11826,LCAIN11826-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.0189,4.2943,99.55988170365367,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,11,Outage,Cell Unavailability: (HU) Cell Unavail Time (s) changed by 727.22 | Availability Issue: Availability changed by 66.96 | DL Radio Failure: DL RBLER changed by 499.76 | CA User Drop: L.CA.UE.Avg changed by 96.81 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 96.55,"Check cell/site availability, active alarms, administrative state, power, transmission, S1, and planned work before RF tuning.","(HU) Cell Unavail Time (s): recent=65805.00, baseline=7955.00, change=727.22% | Availability: recent=23.84, baseline=90.79, change=66.96% | DL RBLER: recent=2.46, baseline=0.41, change=499.76% | L.CA.UE.Avg: recent=0.01, baseline=0.22, change=96.81% | DL Traffic QCI-9: recent=0.02, baseline=0.55, change=96.55%",Cell Unavailability,(HU) Cell Unavail Time (s),Cell unavailable time increased.,"Check site outage, power issue, transmission issue, S1 failure, and alarms.","Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check alarms, S1 issue, manual outage, system outage, and site availability. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA activation, SCell availability, and CA parameters. | Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN10369,LCAIN10369-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.0185,4.0094,99.53858432683195,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,10,Radio Quality,DL Radio Failure: DL RBLER changed by 175.78 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 99.25 | CA User Drop: L.CA.UE.Avg changed by 64.07 | User Throughput Degradation: (HU) User DL Average Throughput (Mbps) changed by 68.75 | Poor Modulation Efficiency: (HU) PDSCH MCS changed by 49.65,"Check CQI/SINR/BLER/MCS, interference indicators, PCI issues, antenna azimuth/tilt, coverage dominance, and recent physical changes.","DL RBLER: recent=2.13, baseline=0.77, change=175.78% | DL Traffic QCI-9: recent=0.02, baseline=2.44, change=99.25% | L.CA.UE.Avg: recent=0.21, baseline=0.58, change=64.07% | (HU) User DL Average Throughput (Mbps): recent=5.11, baseline=16.35, change=68.75% | (HU) PDSCH MCS: recent=6.62, baseline=13.14, change=49.65%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check radio quality, PRB load, scheduler behavior, and user distribution. | Check CQI, SINR, interference, antenna direction, and coverage."
LCAIN10369,LCAIN10369-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.2928,41.8096,99.29968236959932,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,9,Coverage,Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 99.09 | CA User Drop: L.CA.UE.Avg changed by 71.79 | SCell Activation Issue: L.CA.DLSCell.Act.Att changed by 99.00 | SCell Addition Issue: L.CA.DLSCell.Add.Att changed by 97.63 | Border UE Increase: L.Traffic.User.BorderUE.Avg changed by 90.89,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL Traffic QCI-9: recent=0.29, baseline=32.07, change=99.09% | L.CA.UE.Avg: recent=2.03, baseline=7.19, change=71.79% | L.CA.DLSCell.Act.Att: recent=248.00, baseline=24826.00, change=99.00% | L.CA.DLSCell.Add.Att: recent=293.00, baseline=12379.00, change=97.63% | L.Traffic.User.BorderUE.Avg: recent=0.31, baseline=0.16, change=90.89%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check SCell configuration, CA licensing, and secondary carriers. | Check CA configuration and inter-frequency measurements. | Check coverage overlap, handover zones, and cell dominance."
LCAIN11826,LCAIN11826-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.0957,13.0537,99.26687452599646,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,12,Outage,Cell Unavailability: (HU) Cell Unavail Time (s) changed by 727.22 | Availability Issue: Availability changed by 66.96 | DL Radio Failure: DL RBLER changed by 196.90 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 99.27 | CA User Drop: L.CA.UE.Avg changed by 96.13,"Check cell/site availability, active alarms, administrative state, power, transmission, S1, and planned work before RF tuning.","(HU) Cell Unavail Time (s): recent=65805.00, baseline=7955.00, change=727.22% | Availability: recent=23.84, baseline=90.79, change=66.96% | DL RBLER: recent=0.80, baseline=0.27, change=196.90% | DL Traffic QCI-9: recent=0.10, baseline=13.05, change=99.27% | L.CA.UE.Avg: recent=0.11, baseline=2.73, change=96.13%",Cell Unavailability,(HU) Cell Unavail Time (s),Cell unavailable time increased.,"Check site outage, power issue, transmission issue, S1 failure, and alarms.","Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check alarms, S1 issue, manual outage, system outage, and site availability. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters."
LCAIN11826,LCAIN11826-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.2121,9.4842,97.76364901625863,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,9,Outage,Cell Unavailability: (HU) Cell Unavail Time (s) changed by 727.22 | Availability Issue: Availability changed by 66.96 | DL Radio Failure: DL RBLER changed by 63.77 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 97.77 | CA User Drop: L.CA.UE.Avg changed by 92.99,"Check cell/site availability, active alarms, administrative state, power, transmission, S1, and planned work before RF tuning.","(HU) Cell Unavail Time (s): recent=65805.00, baseline=7955.00, change=727.22% | Availability: recent=23.84, baseline=90.79, change=66.96% | DL RBLER: recent=1.04, baseline=0.64, change=63.77% | DL Traffic QCI-9: recent=0.21, baseline=9.46, change=97.77% | L.CA.UE.Avg: recent=0.11, baseline=1.57, change=92.99%",Cell Unavailability,(HU) Cell Unavail Time (s),Cell unavailable time increased.,"Check site outage, power issue, transmission issue, S1 failure, and alarms.","Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check alarms, S1 issue, manual outage, system outage, and site availability. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters."
ICAIN12934,ICAIN12934-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.0136,0.5352,97.45889387144993,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,3,Coverage,DL Radio Failure: DL RBLER changed by 160.00 | DL Throughput Degradation: (HU) Cell DL Average Throughput (Mbps) changed by 61.36 | Average Distance Increase: TA Weighted Avg (meter) changed by 62.88,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=0.20, baseline=0.08, change=160.00% | (HU) Cell DL Average Throughput (Mbps): recent=5.83, baseline=15.09, change=61.36% | TA Weighted Avg (meter): recent=227.02, baseline=139.38, change=62.88%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check coverage shift, antenna tilt, and traffic migration."
LCAIN11826,LCAIN11826-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.985,27.5558,96.42543493565783,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,8,Outage,Cell Unavailability: (HU) Cell Unavail Time (s) changed by 727.22 | Availability Issue: Availability changed by 66.96 | DL Radio Failure: DL RBLER changed by 23.92 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 96.43 | CA User Drop: L.CA.UE.Avg changed by 94.12,"Check cell/site availability, active alarms, administrative state, power, transmission, S1, and planned work before RF tuning.","(HU) Cell Unavail Time (s): recent=65805.00, baseline=7955.00, change=727.22% | Availability: recent=23.84, baseline=90.79, change=66.96% | DL RBLER: recent=0.58, baseline=0.47, change=23.92% | DL Traffic QCI-9: recent=0.98, baseline=27.50, change=96.43% | L.CA.UE.Avg: recent=0.87, baseline=14.70, change=94.12%",Cell Unavailability,(HU) Cell Unavail Time (s),Cell unavailable time increased.,"Check site outage, power issue, transmission issue, S1 failure, and alarms.","Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check alarms, S1 issue, manual outage, system outage, and site availability. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters."
LCAIN10369,LCAIN10369-7,7,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.9742,25.2396,96.140192396076,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,3,Demand,Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 96.08 | SCell Addition Issue: L.CA.DLSCell.Add.Att changed by 95.11 | SCell Activation Issue: L.CA.DLSCell.Act.Att changed by 94.65,"Validate user/traffic demand trend, seasonality, holidays/events, traffic migration to neighbors, and commercial/service changes before RF action.","DL Traffic QCI-9: recent=0.97, baseline=24.73, change=96.08% | L.CA.DLSCell.Add.Att: recent=1947.00, baseline=39856.00, change=95.11% | L.CA.DLSCell.Act.Att: recent=3586.00, baseline=67050.00, change=94.65%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA configuration and inter-frequency measurements. | Check SCell configuration, CA licensing, and secondary carriers."
LCAIN10650_Site_0650,LCAIN10650-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.1154,2.9869,96.13646255314873,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,6,Coverage,DL Radio Failure: DL RBLER changed by 588.50 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 92.56 | Cell Edge Throughput: (HU)CEU Cell Downlink Average Throughput changed by 53.39 | DL Throughput Degradation: (HU) Cell DL Average Throughput (Mbps) changed by 64.48 | User Throughput Degradation: (HU) User DL Average Throughput (Mbps) changed by 61.80,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=1.05, baseline=0.15, change=588.50% | DL Traffic QCI-9: recent=0.09, baseline=1.25, change=92.56% | (HU)CEU Cell Downlink Average Throughput: recent=5.70, baseline=12.24, change=53.39% | (HU) Cell DL Average Throughput (Mbps): recent=6.63, baseline=18.67, change=64.48% | (HU) User DL Average Throughput (Mbps): recent=9.35, baseline=24.48, change=61.80%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CEU scheduling, cell edge SINR, and coverage. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check radio quality, PRB load, scheduler behavior, and user distribution."
LCAIN10581,LCAIN10581-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.3218,8.0106,95.98282275984322,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,7,Coverage,DL Radio Failure: DL RBLER changed by 56.39 | CA User Drop: L.CA.UE.Avg changed by 83.53 | Cell Edge Throughput: (HU)CEU Cell Downlink Average Throughput changed by 84.67 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 73.14 | SCell Activation Issue: L.CA.DLSCell.Act.Att changed by 93.51,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=0.41, baseline=0.26, change=56.39% | L.CA.UE.Avg: recent=0.07, baseline=0.42, change=83.53% | (HU)CEU Cell Downlink Average Throughput: recent=0.55, baseline=3.57, change=84.67% | DL Traffic QCI-9: recent=0.32, baseline=1.18, change=73.14% | L.CA.DLSCell.Act.Att: recent=79.00, baseline=1218.00, change=93.51%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA activation, SCell availability, and CA parameters. | Check CEU scheduling, cell edge SINR, and coverage. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check SCell configuration, CA licensing, and secondary carriers."
