kpi_name,target_kpi_column,kpi_category,threshold_%,degraded_cells_count,max_degradation_%,status,error
DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,240,100.0,Completed,
UL Traffic,(HU) UL Traffic Volume (GBytes),Traffic,30.0,342,100.0,Completed,
DL Throughput,(HU) User DL Average Throughput (Mbps),Integrity,20.0,206,70.31635655285228,Completed,
UL Throughput,(HU) User UL Average Throughput (Mbps),Integrity,20.0,333,87.4807146767531,Completed,
RRC Setup SR,(TE) RRC Setup SR%,Accessibility,5.0,0,1.3200999999999965,Completed,
ERAB Setup SR,ERAB Setup Success Rate,Accessibility,5.0,10,32.950199999999995,Completed,
E-RAB Drop Rate,E-RAB Drop Rate (E-NodeB + MME) %,Retainability,0.5,97,4.8823,Completed,
HO Success Rate,HO SR% Overall,Mobility,5.0,25,24.988,Completed,
Availability,Availability,Availability,1.0,45,81.7419,Completed,
RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,211,78.3035,Completed,
CSFB KPI,CSFB SR%,CSFB / Voice Accessibility,5.0,4,14.285700000000006,Completed,
VoLTE KPIs,BA_Voice E2E VQI,VoLTE,2.0,2,2.8741,Completed,
RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,136,100.0,Completed,
