kpi_name,target_kpi_column,kpi_category,threshold_%,degraded_cells_count,max_degradation_%,status,error
DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,139,100.0,Completed,
UL Traffic,(HU) UL Traffic Volume (GBytes),Traffic,30.0,205,100.0,Completed,
DL Throughput,(HU) User DL Average Throughput (Mbps),Integrity,20.0,85,51.477349501625625,Completed,
UL Throughput,(HU) User UL Average Throughput (Mbps),Integrity,20.0,162,75.70429424029828,Completed,
RRC Setup SR,(TE) RRC Setup SR%,Accessibility,5.0,0,1.3268000000000058,Completed,
ERAB Setup SR,ERAB Setup Success Rate,Accessibility,5.0,2,7.415099999999995,Completed,
E-RAB Drop Rate,E-RAB Drop Rate (E-NodeB + MME) %,Retainability,0.5,45,2.774,Completed,
HO Success Rate,HO SR% Overall,Mobility,5.0,9,25.0,Completed,
Availability,Availability,Availability,1.0,16,12.771999999999998,Completed,
RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,106,40.3749,Completed,
CSFB KPI,CSFB SR%,CSFB / Voice Accessibility,5.0,0,0.8771500000000003,Completed,
VoLTE KPIs,BA_Voice E2E VQI,VoLTE,2.0,0,0.3798999999999999,Completed,
RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,42,34.24905,Completed,
